"Code","Title","About","First Publisher","First Publisher Location","First Publisher Date","Edit Copy Publisher","Edit Copy Publisher Location","Edit Copy Publisher Date","Page Start","Page Stop","DIsplayOrder","Publication Date","Citation","nid"
"VEN","""Vendee""","<p>Published in <em>The Saturday Evening Post</em> on December 5, 1936, ""Vendée"" was the last of the stories Faulkner later reworked into <em>The Unvanquished</em> (1938). In it, a young Bayard Sartoris narrates his quest, made along with his slave companion Ringo and ""Uncle"" Buck McCaslin, to avenge his grandmother Rosa Millard's murder. In a straightforward and chronological approach unusual for Faulkner, the story details their tracking and killing the murderer Grumby, and then pegging out his body like an animal pelt on the shed where he killed Rosa and mounting his severed hand on Rosa's grave.</p>
<p>At the request of the magazine's editor Graeme Lorimer, Faulkner made several revisions in the text.  When Faulkner revised it again as Chapter V of <em>The Unvanquished</em>, he numbered the parts of the story and inserted more detail about the chase, Grumby’s murder, and the severed hand. The draft Faulkner originally submitted to Lorimer included more details along these lines.  In 1979 Joseph Blotner published the story in <em>Uncollected Stories of William Faulkner</em>, restoring one of the passages (linking the boys' mutilation of Grumby's corpse with the practice of Borneo headhunters) that was cut from the earlier versions; our version is based on Blotner's edition.</p>
<p><strong>Mapping the Story</strong>: It's important to acknowledge that most of the locations on our map for this story are speculative.  During the almost two months that they spend chasing Grumby and his gang, Bayard and Ringo cover a lot of ground.  As Bayard says, though, their journey is ""a long way, but it wasn't far.  You could have put a silver dollar down on the geography page with the center of it at Jefferson and we would never have ridden out from under it"" (102).  We take this to imply that, although it is made clear that they get as far west and east as Grenada, Mississippi, and somewhere in Alabama,  most of the story's events occur within Yoknapatawpha. But where, specifically?  On this point the story itself gives little guidance.  Our choices - for example, to identify the river they are riding next to at the end as the Tallahatchie in the north of the county rather than the Yoknapatawpha in the south - rely on evidence from other <em>Unvanquished</em> stories and our own best judgment.  In the end, however, our locations should be seen as representing the idea of the journey they take rather than its actual route.</p>
<p><strong>Dating the Story</strong>: We have set the dates from December 1864 through February 1865 based on the story's references to Christmas, the notches on a stick that Ringo makes to keep time, and the mention of Bayard and Ringo's capturing Grumby in February. We also consulted the dates of the other stories Faulkner was writing at the time that would form the larger narrative of <em>The Unvanquished</em>. It might be noted that Faulkner apparently has Colonel John Sartoris and Drusilla returning from war two months before Lee's surrender.</p>
","Saturday Evening Post","","December 5, 1936","Vintage International","New York","1997","97","117","38.00","1936-12-05","<p>How to cite this resource:<br />Joiner, Jennie J., and Taylor Hagood.  ""Faulkner's 'Vendee.'""  Added to the project: 2015.  Additional editing 2020: Johannes H. Burgers, Theresa M. Towner.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","2085"
"UNV","""The Unvanquished""","<p>""The Unvanquished"" was the fifth in a series of stories Faulkner published between 1934 and 1936 about the Civil War as seen through Bayard Sartoris's youthful eyes. Appearing in the <em>Saturday Evening Post</em> on November 14, 1936, the piece details Bayard's grandmother Rosa Millard's business of stealing mules from the Union army only to sell some of them back and use the money along with the mules she keeps to help support the poor farmers of Yoknapatawpha County. At stake in the story are the problematics of morality.</p>
<p>Faulkner later revised the story, renaming it ""Riposte in Tertio"" and making it part of the volume entitled <em>The Unvanquished</em>, which was published in 1938. The revisions are not extensive, the most noteworthy being the insertion of numbers at the head of the story's sections. The original magazine version was reprinted in <em>Uncollected Stories</em>, which is the text used here.</p>
<p><strong>Dating the Story</strong>: Although no specific dates are mentioned in the story, the events in the present time of the story definitely happen late in the war, and other texts in the series suggest that it is 1864.  In ""Skirmish at Sartoris,"" for example, Bayard connects his grandmother's death with a letter dated in December of that year.  Accordingly, we date the story's ""present"" in 1864, with flashbacks stretching back  as early as 1858.</p>
","Saturday Evening Post","","November 14, 1936","Vintage International","New York","1997","74","96","37.00","1936-11-14","<p>How to cite this resource:<br />Joiner, Jennie J., and Taylor Hagood.  ""Faulkner's 'The Unvanquished.'""  Added to the project: 2013.  Additional editing 2020: Johannes H. Burgers, Theresa M. Towner.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","2084"
"SAS","""Skirmish at Sartoris""","<p>""Skirmish at Sartoris"" climaxes with Faulkner's third and final telling of how Colonel John Sartoris killed two ""carpetbaggers"" in Jefferson in order to prevent Yoknapatawpha's emancipated male slaves from voting or running for office.  In <em>Flags in the Dust</em>, his first Yoknapatawpha fiction, the story is told by Will Falls, a Confederate veteran who idolizes Sartoris.  In <em>Light in August</em>, it is told by Joanna Burden, the granddaughter and half-sister of the men Sartoris kills.  Here, the event is recounted by Sartoris' own son, Bayard, who is fifteen years old at the time.  The meaning and moral implications of the killing shift with every re-telling.  In this story the white population's resistance to Reconstruction is combined with a comic tale about Drusilla Hawk's resistance to the conventional role she is expected to play by her mother and the ladies of Jefferson: election day is also the day she and Sartoris are supposed to marry. </p>
<p>This is one of the eight stories that Bayard narrates.  Here, though it seems clear that Bayard does know more about what ""Father and the other men"" are doing than he claims to, his youth and naivete allow Faulkner to keep the reader's attention focused more on gender politics than racial ones.  Faulkner's original title for the story was ""Drusilla,"" and the ""skirmish"" is presented as part of the eternal battle of the sexes.  Drusilla herself will probably strike modern readers as one of Faulkner's most interesting women, but given the fact that blacks were still largely disenfranchised in the South at the time Faulkner wrote, the tale itself may strike them as disingenuous, if not reactionary.  The story was published in the April 1935 issue <em>Scribner's Magazine</em>.  After making a few excisions, Faulkner included it as the penultimate story in <em>The Unvanquished</em> (1938), seven stories narrated by Bayard describing his coming-of-age as the son of ""Colonel Sartoris"" during and just after the Civil War.  The magazine version was republished by Joseph Blotner in <em>Uncollected Stories</em>, which is the version our edition follows.</p>
<p><strong>Dating the Story</strong>: Two specific dates are provided by the text itself, one implicitly (the Battle of Shiloh was fought April 6-8, 1862) and one explicitly (Aunt Louisa's letter to Granny Rosa Millard arrives at the Sartoris plantation in ""just before Christmas in 1864"").  Our dating of the other events follows from these two points of reference, though there are the usual Faulknerian complications.  For example, according to the story, Colonel Sartoris writes his son ""from Carolina"" in July, 1864, but Mississippi troops would not be fighting in either Carolina until later.   The events that the story places ""in the spring"" and summer of 1865 seem to happen prematurely as well: since Robert E. Lee did not surrender and disband his army in Virginia until mid-April, 1865, John and Drusilla would have had to rush home to be there as early as the story requires, and it seems doubtful that any black candidates for public office would have appeared in Mississippi so quickly after the War.</p>
","Scribner's Magazine","","April 1935","Vintage International","New York","1997","58","73","31.00","1935-04","<p>How to cite this resource:<br />Humphreys, Kristi, and Stephen Railton.  ""Faulkner's 'Skirmish at Sartoris.'""  Added to the project: 2014.  Additional editing 2018: John Corrigan, Jennie J. Joiner.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","2083"
"RAI","""Raid""","<p>""Raid"" is a Faulknerian adventure story filled with deception, drama, and even blind luck. The story first appeared in <em>The Saturday Evening Post</em> on November 3rd, 1934. It followed ""Ambuscade"" and ""Retreat"" as the third in the series of stories Faulkner was writing at this time about the Civil War and Yoknapatawpha as seen through the eyes of a young Bayard Sartoris. In 1938 Faulkner published revised versions of these three stories in addition to four others as the novel <em>The Unvanquished</em>.</p>
<p>Most of ""Raid"" takes place outside Yoknapatawpha.  Bayard and his best friend and slave Ringo accompany Rosa (Granny) Millard on a treasure hunt to reclaim the family's silver, which was confiscated by the Union troops who burned the Sartoris plantation house in ""Retreat"" (1934). The focus of the story is on their journey to and from the Yankee encampment in Tennessee and the comic misunderstanding by which Rosa ends up with a lot more than she went looking for, but it also raises broader issues such as the fate of former slaves who travel at night towards the Union Army in search of ""Jordan"" and of freedom. The story addresses the changing realities for African Americans in the South after emancipation but before the surrender.  Legally, the Emancipation Proclamation freed all people in bondage in the rebellious States on January 1st, 1863, the year in which Faulkner's story takes place; but the story itself gives no indication that this was known to the African American population of Mississippi and Alabama. When Rosa tells a large group of blacks who have made it behind Union lines to return ""home"" to their owners, they seem to obey her, although we do not find out if in fact they do.  Also noteworthy in this story is the representation of Union soldiers in contrast to the consequences of total war. Faulkner portrays them mostly as courteous and respectful in their interactions with Rosa, belying Confederate stereotypes of them.  Yet their deeds were less cavalier: on their journey, Rosa and the boys travel through a devastated landscape where piles and piles of ashes mark the locations of once impressive mansions brought down by the Union Army. Ironically, only the slave quarters remain, which now house the landed gentry.</p>
<p>Joseph Blotner reprinted the original magazine version of ""Raid"" in <em>William Faulkner: Uncollected Stories</em>.  That is the version on which our edition is based.</p>
","Saturday Evening Post","","November 3, 1934","Vintage International","New York","1997","37","57","30.00","1934-11-03","<p>How to cite this resource:<br />Chancellor, Scott T., and Dorette Sobolewski.  ""Faulkner's 'Raid.'""  Added to the project: 2015.  Additional editing 2020: Johannes H. Burgers, Theresa M. Towner.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","2082"
"RET","""Retreat""","<p>""Retreat"" was published in <em>The Saturday Evening Post</em> on October 13, 1934, two weeks after the first of Bayard Sartoris' Civil War stories, ""Ambuscade,"" appeared there.  One more story in the series - ""Raid"" - was published in the <em>Post</em> later that year, and subsequently three more, ""Skirmish at Sartoris"" (1935), ""The Unvanquished"" and ""Vendée"" (both 1936) appeared in magazines still later (the last two also in the <em>Post</em>).  When Faulkner revised these stories, along with one other, to create the novel <em>The Unvanquished</em> (1938), ""Retreat"" became the second chapter. Among the more substantive changes Faulkner made was an expansion of Uncle Buck's rant at the courthouse square in order to provide more backstory for the McCaslin plantation. For the book publication Faulkner also divided the story into three numbered sections. The original magazine versions of ""Retreat"" has since been reprinted in <em>Uncollected Stories</em> (ed. Joseph Blotner), which provides the basis for our edition of the tale.</p>
<p>When Vicksburg, Mississippi, fell to Union troops on July 4, 1863, the area around Yoknapatawpha became a kind of military borderland.  Set in that summer (see note below), ""Retreat"" records the unraveling social order of life in the South during the war. The story centers on the young Bayard, who first appeared as an old man in <em>Flags in the Dust</em> (1929); as a boy in this story traveling with his friend and slave, Ringo, and the adults in his family, he witnesses firsthand his grandmother's grit and his father's valor, as well as the rebellion of one of the family's slaves and the destruction of his family's home by Union troops.  </p>
<p><strong>Dating the Story</strong>:  We know the story takes place in the summer and during the Civil War. However, there is little internal evidence to determine the exact year. Several references to other stories in the series helped us establish a general time line for ""Retreat."" Throughout the story, Bayard mentions events that happened ""last summer,"" including burying the trunk and seeing his first Yankee. Because these events occur in ""Ambuscade,"" we determined that ""Retreat"" takes place one year later. While the dating of ""Ambuscade"" is also uncertain, we follow the lead of James Hinkle and Robert McCoy in their book <em>Reading Faulkner: The Unvanquished</em> (Jackson: University Press of Mississippi, 1995) and our peer editors at The Digital Yoknapatwpha Project, who place the events of ""Ambuscade"" in the summer of 1862.</p>
","Saturday Evening Post","","October 13, 1934","Vintage International","New York","1997","17","36","29.00","1934-10-13","<p>How to cite this resource:<br />Burgers, Johannes H., and Sarah Perkins.  ""Faulkner's 'Retreat.'""  Added to the project: 2015.  Additional editing 2020: Johannes H. Burgers, Theresa M. Towner.   <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","2081"
"AMB","""Ambuscade""","<p>""Ambuscade"" was the first of a series of Civil War stories centered on young Bayard Sartoris, who as an old man first appeared in the Yoknapatawpha fiction as a major character in <em>Flags in the Dust</em> (1929), and his black friend (and Sartoris family slave) Ringo. It was published September 29, 1934 in the <em>Saturday Evening Post</em>; subsequent stories ""Retreat,"" ""Raid,"" and ""The Unvanquished"" were published in the <em>Post</em> later that year, while two other stories in the series, ""Skirmish at Sartoris"" and ""Vendée,"" were published in <em>Scribner's</em> in April 1935 and <em>Saturday Evening Post</em> in December 1936. Faulkner revised the stories, along with one other unpublished story, ""An Odor of Verbena,"" to form the novel <em>The Unvanquished</em>, which was published in 1938; the individual stories retained their original titles except for ""The Unvanquished,"" which was re-titled ""Riposte at Tertio"" in the book. The original magazine versions of ""Ambuscade"" and the other stories in the series have since been reprinted in <em>Uncollected Stories</em>, which provides the version of ""Ambuscade"" here.</p>
<p>The magazine version of ""Ambuscade"" lacks some of the background and detail of the version in <em>The Unvanquished</em>. Like all of the stories in this series, it is narrated by an adult Bayard Sartoris looking back at his experiences during and after the Civil War. ""Ambuscade"" is the earliest story in the sequence, set in 1862 (or possibly later — see note below), before the war had fully reached Yoknapatawpha County and the Sartoris plantation; the plot, in fact, depicts Bayard's and Ringo's first glimpse of ""Yankee"" soldiers, and their attempt to vanquish them. It has humorous elements, particularly the boys' punishment for using the word ""bastard"" and the ingenious method Bayard's grandmother uses to hide the boys from Union soldiers. Despite these lighthearted elements, however, the story serves to introduce a central theme of these stories: the reality of war and killing, how these things differ from children's play, and the maturation of Bayard from a child surrounded by war and violence to a man who chooses a less violent path. The story also offers historically accurate glimpses of life in Mississippi during the early years of the Civil War, including the fears that slaves would turn against their masters and that invading troops would confiscate valuables such as livestock and silverware.</p>
<p>Note: We are following the lead of James Hinkle and Robert McCoy in their book <em>Reading Faulkner: The Unvanquished</em> (University Press of Mississippi, 1995), in choosing to date the events of the story in the summer of 1862. There are several compelling reasons to do so.  First, Corinth actually fell to Union troops at the end of May 1862, which can explain Loosh's assumption that the boys had not yet learned about that Confederate loss. Vicksburg, meanwhile, was facing heavy bombardment from Admiral Farragutt on the Mississippi River in May, shelling that continued in June and July 1862, so it is not difficult to imagine rumors (or fears) that Vicksburg had fallen to Union forces that summer of 1862, as Loosh tells the boys. Another reason supporting 1862 is that this is when Union soldiers began to arrive in north Mississippi. However, the story also includes historical references that make 1862 problematic. The most obvious is that Vicksburg actually did fall to Union forces on July 4, 1863. The story also makes reference to General John Pemberton, who did not assume command of Vicksburg's defenses until October 1862, and Bayard mentions Chickamauga and Lookout Mountain, battles that did not occur until September and November 1863, respectively — details which would make even the summer of 1863 problematic. These historical anomalies may be explained by failures of memory from whenever Bayard Sartoris is remembering the story years later, but just as likely is Faulkner's own decision not to adhere to strict historical accuracy in writing this coming-of-age Civil War story. (Faulkner did, in fact, remove the Chickamauga and Lookout Mountain references in the revised version of the story that appears in <em>The Unvanquished</em>, but he retained references to Pemberton.) The final and most compelling reason to date this story in 1862, however, is the one date-specific ""fact"" in the story: Bayard's assertion that he was twelve years old when the incidents in the story took place. Other stories and novels consistently indicate that Bayard and Ringo were born in September 1849, which would mean they were both twelve in the summer of 1862.</p>
","Saturday Evening Post","","September 29, 1934","Vintage International","New York","1997","3","16","28.00","1934-09-29","<p>How to cite this resource:<br />Froehlich, Peter, John Padgett, and William Teem.  ""Faulkner's 'Ambuscade.'""  Added to the project: 2013.  Additional editing 2020: Johannes H. Burgers, Theresa M. Towner.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","2080"
"HR","""Hair""","<p>""Hair"" (1931) has complex roots in Faulkner's imagination.  The girl Susan, along with her guardians Mr. and Mrs. Burchett, appear in one of his very first stories, ""Moonlight,"" which was written some years earlier and remained unpublished until Joseph Blotner included it in <em>Uncollected Stories</em> (1979).  The barber Hawkshaw is a central character in ""Dry September,"" a story Faulkner was still revising when he began ""Hair.""  But for this new story these characters are dramatically revised.  ""Hawkshaw,"" for example, turns out to be a newcomer to Jefferson, whose real name is Henry Stribling.  The people of Jefferson call him ""Hawkshaw,"" a slang term for ""detective,"" because ""that was the last thing in the world anybody would suspect him to be"" (141).  Nonetheless ""Hair"" is a kind of detective story, in which that role is played by many <em>other</em> characters, who try to solve the mystery of Hawkshaw's behavior.  The chief investigator is the unnamed narrator, though his account relies on other men's testimony as well as his own research.  And while he chooses to withhold most of what he learns from the townspeople, in the end his apparently privileged position is eroded by his ultimate discovery of what he doesn't know, hadn't imagined at all.  Both these structual elements - the quasi-detective plot and the de-centering of the story's narrative perspective - connect this tale with many other Yoknapatawpha fictions, including such major works as <em>Absalom, Absalom!</em></p>
<p>Susan's behavior in this story is another imaginative strand that readers of Faulkner's early fictions are familiar with.  In the Twenties it was often a symbol of liberation for a woman to cut - or ""bob"" - her hair.  For all the time that Susan spends in the barber shop, it's not clear that Faulkner wants us to place her in that context, but Susan clearly belongs in the gallery of promiscuous female characters - Joan Heppleworth, Caddy Compson, Temple Drake, Addie and Dewey Dell Bundren, and so on - whose sexuality occupies, even preoccupies a good part of the text.  Those readers, however, might be just as surprised as the narrator by the ending of this young woman's story.</p>
<p>After several rejections, ""Hair"" was bought by H. L. Mencken's <em>American Mercury</em> magazine, where it appeared in May 1931.  After several slight revisions, Faulkner republished it in <em>These Thirteen</em> (1931), his first volume of short stories.  He included it again in <em>Collected Stories</em> (1950), where it appears immediately after ""A Rose for Emily""; this version is the basis for our representation of the story.</p>
<p><strong>Dating the Story</strong>: There are an unusually large number of specific dates in ""Hair,"" especially in the Bible that the narrator sees at the Starneses, and quite a few other kinds of temporal references as well - ""thirteen years ago"" (137), ""twelve years he stayed"" (142), ""two weeks ago"" (136), and so on.  But the narrative also contains irreconcilable chronological discrepancies, especially at the end, when the narrator says ""last week I went to Division"" on the same page where he says ""it was three months"" <em>after that</em> when the final scene takes place (145).  Under these circumstances we chose to accept the Bible's written dates, and for the unwritten ones to work both forwards from them and backwards from the date of the story's publication (May 1931).  By this reckoning Henry Stribling arrives in Jefferson, and is rechristened Hawkshaw, in the spring of 1918 - but in Faulkner's mind that might have happened a year earlier or later.</p>
","American Mercury","","May 1931","Vintage International","New York","1995","131","148","11.00","1931-05","<p>How to cite this resource:<br />Cornell, Elizabeth, and Stephen Railton.  ""Faulkner's 'Hair.'""  Added to the project: 2017.  Additional editing 2019: Ben Robbins, Lorie Watkins.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","1895"
"TO","""Tomorrow""","<p>A lesser-known story in Faulkner’s oeuvre, ""Tomorrow"" was first published on Nov. 23, 1940, in the <em>Saturday Evening Post</em>. The magazine bought the short story for $1000.  The story was later included in <em>Knight’s Gambit</em>, a short collection of mystery tales that also included ""Smoke,"" ""Monk,"" ""Hand Upon the Waters,"" ""An Error in Chemistry,"" and the title novella, ""Knight’s Gambit."" Though the stories in <em>Knight’s Gambit</em> were written and published at various times in the 1930s and 1940s, Random House published the stories together in 1949, the year for which Faulkner was awarded the Nobel Prize for Literature. Like the rest of the stories in <em>Knight’s Gambit</em>, ""Tomorrow"" features Gavin Stevens, the wise county attorney of Yoknapatwpha. In this story, Stevens and his nephew Chick Mallison travel the county to uncover the mystery of the hung jury at the Bookwright trial. Our digital representation of ""Tomorrow"" and its pagination refer to the version of the story published in the Vintage International paperback <em>Knight’s Gambit</em> (2011).</p>
","Saturday Evening Post","","23 November 1940","Vintage International","New York","2011","89","110","48.00","1940-11-23","<p>How to cite this resource:<br />Jewett, Chad, and Sarah Perkins.  ""Faulkner's 'Tomorrow.'""  Added to the project: 2013.  Additional editing 2018: Lorie Watkins, Jay Watson.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","1336"
"BP","""By the People""","<p>Faulkner wrote this story about the conflict between democratic politics and demagoguery while visiting New York City in October, 1954.  Perhaps it was being away from the South that allowed him to make one of his most plain-spoken statements about its patterns of racial bigotry and ethnic intolerance.  For example, this is his only story to mention the Ku Klux Klan by name.  His focus, however, is not on the victims of prejudice, but on the way an electorate's prejudices can be manipulated by ambitious, unscrupulous politicians for private gain.  Faulkner originally called the villain of this story ""Homer X. Yarbry,"" but ended up identifying him as Clarence Snopes, who first appeared in <em>Sanctuary</em> (1931).  After serving 25 years in the Mississippi legislature, Snopes is on the verge of running for Congress, and certain to defeat his announced opponent, a genuine hero with a Congressional Medal of Honor among other medals, but in the end is defeated by one of Faulkner's favorite characters, the peripatetic salesman named V.K. Suratt.  Suratt is a man of the people.  He is even a kind of redneck: the text mentions his ""shaved"" and ""sunburned"" neck (88).  But in the end Suratt has to act as an individual; government ""by the people"" - or what the story calls ""the voting competence of every sharecropper and tenant farmer not only in Yoknapatawpha County but in all Mississippi"" (132) - remains unrecuperated.</p>
<p>Because of the particular way in which the dirty trick Suratt plays on Snopes is dirty, eight magazines rejected the story before it was bought by <em>Mademoiselle</em> for $750 in early 1955; the magazine published it in October, 1955.  Faulkner incorporated it, with very few revisions, into the final volume of the Snopes Trilogy, <em>The Mansion</em> (1959).  It was reprinted in <em>Prize Stories 1957: The O'Henry Awards</em> and <em>40 Best Stories from Mademoiselle, 1935-1960</em>, but Joseph Blotner did not include it in his <em>Uncollected Stories</em>, so our representation is based on the <em>Mademoiselle</em> text.</p>
","Mademoiselle Magazine","","October 1955","Mademoiselle Magazine","New York","October 1955","86","139","65.00","1955-10","<p>How to cite this resource:<br />
Burgers, Johannes H., and Stephen Railton. ""Faulkner's 'By the People.'"" Added to the project: 2018. Additional editing 2021: Stephen Railton; 2022: Jennie J. Joiner.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","1335"
"FAH","""Fool About a Horse""","<p>According to Joseph Blotner's note on ""Fool About a Horse"" in his edition of Faulkner's <em>Uncollected Stories</em>, Faulkner ""may have"" written the story in early 1935.  <em>Scribner's Magazine</em> published it in August 1936.  In between it went through a number of rewritings that can now be only partially reconstructed.</p>
<p>Originally the account of Pap's misadventures with horses and mules had a frame in which a character who was probably Quentin Compson introduced the story-teller, who was named Suratt.  The text's two voices - the narrator's formal one and the story-teller's vernacular one - and its two settings - the law office in town where the story was told and the rural world in which it originally happened - set up contrasts that had been familiar conventions of Southwestern humor since the 1830s.  (You can see more about this original version via the Additional Resources link in the control box.)  Our representation of the story derives from Blotner's reprinting of the <em>Scribner's</em> text in <em>Uncollected Stories</em>.  In this version, the frame has entirely disappeared, and an unnamed story-teller speaks his eloquent and amusing vernacular to an audience of unseen listeners.  The conflict that matters most here is between the masterful horse-trading of Pat Stamper and his Negro assistant Jim on the one hand and foolish over-reaching of the story-teller's shiftless Pap on the other - though the story-teller's narrative sophistication suggests that Jim is not the only ""artist"" on hand.</p>
<p>The manuscript or typescript that would enable us to watch Faulkner revising the ""Quentin-Suratt-Pap"" story to a ""me and Pap"" story has apparently been lost.  Some pages of the typescript we do have, however, do show Faulkner revising the story again several years later, for use in Part Four of <em>The Hamlet</em> (1940).  There the story-teller is again Suratt, now called Ratliff, but his Pap's part is played by Ab Snopes, the father of Flem and a neighbor of Ratliff when he was a boy.  In this re-revised version, Faulkner provides a source for the milk that Vynie is happily running through her new appliance at the end.</p>
","Scribner's Magazine","","August 1936","Vintage International","New York","1997","118","134","35.00","1936-08","<p>How to cite this resource:<br />Carothers, James B., and Stephen Railton.  ""Faulkner's 'Fool About a Horse.'""  Added to the project: 2016.  Additional editing 2021: Johannes H. Burgers; 2022: Jennie J. Joiner.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","1334"
"WCD","""With Caution and Dispatch""","","","","","","","","","","69.00","1979","","1331"
"TH","""The Hound""","<p>Curiously, there are no geographical names in this story.   The town is just called ""the town"" or ""the countyseat"" and the county, ""the county.""  But its cast includes a Snopes and Vernon Tull, and the local meeting place is ""Varner's store"" - these details clearly locate the tale in Yoknapatawpha. The story it tells was probably originally imagined as part of the novel Faulkner titled ""Father Abraham.""  This planned work, organized around Flem Snopes' rise from poverty in Frenchman's Bend to wealth and power in Jefferson, was Faulkner's first attempt to write about the place that he soon decided to call Yoknapatawpha.  He never finished it, but did publish three different stories set in Frenchman's Bend between 1931 and 1932.  ""The Hound,"" published by <em>Harper's Magazine</em> in August, 1931, was the second of these.</p>
<p>A grim tale of crime and guilt, the story stays tightly focused on the actions and emotions of its anti-hero, Ernest Cotton, a ""mild man"" who turns out to have an inexhaustible fund of bitterness, rage and fear.  The hound, his nemesis, provides the tale's relentless soundtrack.  Faulkner reprinted the story in his second collection of short fiction, <em>Doctor Martino and Other Stories</em> (1934).  At the end of that decade he returned to the original ""Father Abraham"" project, recasting it as the Snopes Trilogy.  Along with the other two early tales - ""Spotted Horses"" (1931) and ""Lizards in Jamshyd's Courtyard"" (1932) - ""The Hound"" was incorporated into the first volume of that trilogy, <em>The Hamlet</em> (1940).  For this novel Faulkner made extensive revisions in the story, including changing Cotton's name to Mink Snopes, giving him a wife and children, and expanding the role of the Snopes who clerks in the store, who is now identified as Mink's cousin Lump.  Our representation of the story derives from the <em>Harper's</em> text, as reprinted by Joseph Blotner in the <em>Uncollected Stories of William Faulkner</em> (1979).</p>
<p><strong>Dating the Story</strong>: We have chosen to date our representation of the story over 11 days - and for Cotton, 10 sleepless nights - in July, 1929.  This is a speculation, informed by the temporal cues that the text itself provides.  On the tale's last day, when Cotton is being driven to jail, the Sheriff's car meets ""cars and wagons"" going home from ""market day in the town""; in the Yoknapatawpha fictions, as in Faulkner's rural South, the regular day for country people to go into town to shop is Saturday.  And as the car drives through the streets of town, it passes children playing and adults walking homeward ""in the long twilight of summer,"" which makes July a good guess.  The fact that Cotton is in a car and that they meet other cars on the road suggests that the year is probably the late 1920s (earlier, cars were rare in Yoknapatawpha; when Faulkner revised the story for <em>The Hamlet</em>, the Sheriff travels in a horse-drawn surrey).  Using Faulkner's tendency to set fictions that aren't explicitly ""historical"" at or near the time he was writing them gave us 1929.  In July 1929 there is a Saturday on the 13th.  The men at Varner's say Houston's horse returned home without him on a ""Tuesday.""  Working backward from the 13th ""two-three days"" to the day Cotton's shotgun was brought to  Varner's and then further back over the several nights that the hound has already been howling took us to July 2nd as the Tuesday on which the story starts.  But this <em>is</em> our interpretation.  The story takes place in the summer in the late Twenties, and begins on a Tuesday and ends on a Saturday - that's all we know for certain.</p>
","Harper's Magazine","","August 1931","Vintage International","New York","1997","152","164","13.00","1931-08","<p>How to cite this resource:<br />Burgers, Johannes H., and Stephen Railton.  ""Faulkner's 'The Hound.'""  Added to the project: 2016. Additional editing 2021: John Corrigan.   <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","1315"
